lap_num,s1_time,incident,related_b_hits,related_t_hits,brake_throttle_deltas
72,28149,track limit violation,['../Data/image-data/session-8/brake/Lap_5_track_limit_violating_brake.png'],['../Data/image-data/session-8/throttle/Lap_5_track_limit_violating_throttle_hit.png'],"[[1.0587608814239502, 1.0, 1.0], [2.8473947048187256, 2.0, 2.0]]"
73,28223,none,"['../Data/image-data/session-8/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-8/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-8/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-8/throttle/Lap_6_Throttle hit_2.png']","[[1.184779167175293, 1.0, 1.0], [2.9491653442382812, 2.0, 2.0]]"
74,28489,none,"['../Data/image-data/session-8/brake/Lap_7_Brake hit_1.png', '../Data/image-data/session-8/brake/Lap_7_Brake hit_2.png']","['../Data/image-data/session-8/throttle/Lap_7_Throttle hit_1.png', '../Data/image-data/session-8/throttle/Lap_7_Throttle hit_2.png']","[[1.6503453254699707, 1.0, 1.0], [2.992475986480713, 2.0, 2.0]]"
75,28408,none,"['../Data/image-data/session-8/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-8/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-8/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-8/throttle/Lap_8_Throttle hit_2.png']","[[1.7128939628601074, 1.0, 1.0], [2.634553909301758, 2.0, 2.0]]"
76,29374,track limit violation,['../Data/image-data/session-8/brake/Lap_9_track_limit_violating_brake.png'],['../Data/image-data/session-8/throttle/Lap_9_track_limit_violating_throttle_hit.png'],"[[1.0697550773620605, 1.0, 1.0]]"
77,28191,none,"['../Data/image-data/session-8/brake/Lap_10_Brake hit_1.png', '../Data/image-data/session-8/brake/Lap_10_Brake hit_2.png']","['../Data/image-data/session-8/throttle/Lap_10_Throttle hit_1.png', '../Data/image-data/session-8/throttle/Lap_10_Throttle hit_2.png']","[[1.1617155075073242, 1.0, 1.0], [2.3542098999023438, 2.0, 2.0]]"
78,28526,none,"['../Data/image-data/session-9/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-9/brake/Lap_1_Brake hit_2.png']",['../Data/image-data/session-9/throttle/Lap_1_Throttle hit_1.png'],"[[2.275329828262329, 2.0, 1.0]]"
79,29531,none,"['../Data/image-data/session-9/brake/Lap_2_Brake hit_1.png', '../Data/image-data/session-9/brake/Lap_2_Brake hit_2.png']","['../Data/image-data/session-9/throttle/Lap_2_Throttle hit_1.png', '../Data/image-data/session-9/throttle/Lap_2_Throttle hit_2.png']","[[2.0936031341552734, 1.0, 1.0], [3.348637580871582, 2.0, 2.0]]"
80,28958,track limit violation,['../Data/image-data/session-9/brake/Lap_3_track_limit_violating_brake.png'],['../Data/image-data/session-9/throttle/Lap_3_track_limit_violating_throttle_hit.png'],"[[1.621739149093628, 1.0, 1.0], [2.852700710296631, 2.0, 2.0]]"
81,28321,none,"['../Data/image-data/session-9/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-9/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-9/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-9/throttle/Lap_4_Throttle hit_2.png']","[[1.513024091720581, 1.0, 1.0], [2.229769706726074, 2.0, 2.0]]"
